Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,15596,106.75,67.06,1664873.00,1045867.76,619005.24
Keychron Q6 Pro Keyboard (Red),12156,216.67,112.85,2633840.52,1371804.60,1262035.92
Anker PowerExpand USB-C Hub,16315,51.80,26.58,845117.00,433652.70,411464.30
"Dell U2723QE 27"" 4K Monitor",6566,612.23,394.76,4019902.18,2591994.16,1427908.02
Herman Miller Aeron Chair (Size B),5237,1255.26,791.72,6573796.62,4146237.64,2427558.98
Flexispot E7 Pro Desk (Bamboo),11252,383.58,224.27,4316042.16,2523486.04,1792556.12
Elgato Facecam Pro 4K,2425,323.70,162.46,784972.50,393965.50,391007.00
Sony WH-1000XM5 Headphones,15660,386.37,216.70,6050554.20,3393522.00,2657032.20
Rain Design mStand (Silver),17360,62.54,28.21,1085694.40,489725.60,595968.80
BenQ ScreenBar Halo Light,5624,151.69,72.60,853104.56,408302.40,444802.16
TOTAL,108191,—,—,28827897.14,16798558.40,12029338.74
