Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,6205,96.84,63.90,600892.20,396499.50,204392.70
Keychron Q6 Pro Keyboard (Red),8097,188.80,122.03,1528713.60,988076.91,540636.69
Anker PowerExpand USB-C Hub,7826,35.83,17.58,280405.58,137581.08,142824.50
"Dell U2723QE 27"" 4K Monitor",9273,533.68,373.86,4948814.64,3466803.78,1482010.86
Herman Miller Aeron Chair (Size B),8725,1126.17,672.65,9825833.25,5868871.25,3956962.00
Flexispot E7 Pro Desk (Bamboo),10189,442.68,266.75,4510466.52,2717915.75,1792550.77
Elgato Facecam Pro 4K,10035,310.44,173.95,3115265.40,1745588.25,1369677.15
Sony WH-1000XM5 Headphones,16867,306.96,167.30,5177494.32,2821849.10,2355645.22
Rain Design mStand (Silver),11865,46.64,24.78,553383.60,294014.70,259368.90
BenQ ScreenBar Halo Light,15997,131.98,75.70,2111284.06,1210972.90,900311.16
TOTAL,105079,—,—,32652553.17,19648173.22,13004379.95
