Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,6471,108.91,71.75,704756.61,464294.25,240462.36
Keychron Q6 Pro Keyboard (Red),5590,205.78,105.13,1150310.20,587676.70,562633.50
Anker PowerExpand USB-C Hub,3397,34.50,20.68,117196.50,70249.96,46946.54
"Dell U2723QE 27"" 4K Monitor",8798,530.51,382.25,4667426.98,3363035.50,1304391.48
Herman Miller Aeron Chair (Size B),9928,1426.67,857.82,14163979.76,8516436.96,5647542.80
Flexispot E7 Pro Desk (Bamboo),1767,353.31,228.04,624298.77,402946.68,221352.09
Elgato Facecam Pro 4K,10552,300.90,161.33,3175096.80,1702354.16,1472742.64
Sony WH-1000XM5 Headphones,14709,283.92,136.22,4176179.28,2003659.98,2172519.30
Rain Design mStand (Silver),8640,41.56,19.51,359078.40,168566.40,190512.00
BenQ ScreenBar Halo Light,2787,148.28,71.07,413256.36,198072.09,215184.27
TOTAL,72639,—,—,29551579.66,17477292.68,12074286.98
