Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,589,82.52,56.24,48604.28,33125.36,15478.92
Keychron Q6 Pro Keyboard (Red),10701,218.90,113.28,2342448.90,1212209.28,1130239.62
Anker PowerExpand USB-C Hub,5271,52.14,24.76,274829.94,130509.96,144319.98
"Dell U2723QE 27"" 4K Monitor",13781,618.70,421.17,8526304.70,5804143.77,2722160.93
Herman Miller Aeron Chair (Size B),9639,1146.09,688.74,11047161.51,6638764.86,4408396.65
Flexispot E7 Pro Desk (Bamboo),2132,408.43,259.74,870772.76,553765.68,317007.08
Elgato Facecam Pro 4K,3068,317.50,185.79,974090.00,570003.72,404086.28
Sony WH-1000XM5 Headphones,6182,378.60,215.48,2340505.20,1332097.36,1008407.84
Rain Design mStand (Silver),15756,59.62,25.34,939372.72,399257.04,540115.68
BenQ ScreenBar Halo Light,15075,131.60,70.53,1983870.00,1063239.75,920630.25
TOTAL,82194,—,—,29347960.01,17737116.78,11610843.23
