Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,9745,106.81,69.22,1040863.45,674548.90,366314.55
Keychron Q6 Pro Keyboard (Red),15749,224.62,116.78,3537540.38,1839168.22,1698372.16
Anker PowerExpand USB-C Hub,9121,38.66,18.67,352617.86,170289.07,182328.79
"Dell U2723QE 27"" 4K Monitor",5496,558.68,371.21,3070505.28,2040170.16,1030335.12
Herman Miller Aeron Chair (Size B),18084,1309.54,656.39,23681721.36,11870156.76,11811564.60
Flexispot E7 Pro Desk (Bamboo),188,394.86,227.24,74233.68,42721.12,31512.56
Elgato Facecam Pro 4K,3274,254.20,162.17,832250.80,530944.58,301306.22
Sony WH-1000XM5 Headphones,17430,320.76,145.18,5590846.80,2530487.40,3060359.40
Rain Design mStand (Silver),1050,62.93,34.41,66076.50,36130.50,29946.00
BenQ ScreenBar Halo Light,5237,166.97,92.66,874421.89,485260.42,389161.47
TOTAL,85374,—,—,39121078.00,20219877.13,18901200.87
