Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,5500,102.13,61.70,561715.00,339350.00,222365.00
Keychron Q6 Pro Keyboard (Red),8685,214.29,112.26,1861108.65,974978.10,886130.55
Anker PowerExpand USB-C Hub,4619,46.96,25.52,216908.24,117876.88,99031.36
"Dell U2723QE 27"" 4K Monitor",18583,575.57,389.58,10695817.31,7239565.14,3456252.17
Herman Miller Aeron Chair (Size B),4248,1274.37,798.50,5413523.76,3392028.00,2021495.76
Flexispot E7 Pro Desk (Bamboo),13060,450.11,270.15,5878436.60,3528159.00,2350277.60
Elgato Facecam Pro 4K,17934,277.32,153.29,4973456.88,2749102.86,2224354.02
Sony WH-1000XM5 Headphones,5887,383.59,221.16,2258194.33,1301968.92,956225.41
Rain Design mStand (Silver),14685,55.37,29.67,813108.45,435703.95,377404.50
BenQ ScreenBar Halo Light,955,166.94,95.18,159427.70,90896.90,68530.80
TOTAL,94156,—,—,32831696.92,20169629.75,12662067.17
