Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,14599,77.35,48.83,1129232.65,712869.17,416363.48
Keychron Q6 Pro Keyboard (Red),16054,214.33,107.68,3440853.82,1728694.72,1712159.10
Anker PowerExpand USB-C Hub,10589,46.84,21.65,495988.76,229251.85,266736.91
"Dell U2723QE 27"" 4K Monitor",9146,561.24,390.76,5133101.04,3573890.96,1559210.08
Herman Miller Aeron Chair (Size B),11207,1453.87,935.41,16293521.09,10483139.87,5810381.22
Flexispot E7 Pro Desk (Bamboo),489,486.19,285.41,237746.91,139565.49,98181.42
Elgato Facecam Pro 4K,13307,288.65,170.77,3841065.55,2272436.39,1568629.16
Sony WH-1000XM5 Headphones,9551,316.18,166.45,3019835.18,1589763.95,1430071.23
Rain Design mStand (Silver),13285,44.55,22.49,591846.75,298779.65,293067.10
BenQ ScreenBar Halo Light,9037,166.34,93.67,1503214.58,846495.79,656718.79
TOTAL,107264,—,—,35686406.33,21874887.84,13811518.49
